7	9	
12	1	
18	__none__	
22	17	
26	48	
27	17	
29	19	
30	13	
31	__none__	
33	13	
44	35	
45	39	
49	43	
51	17	
52	23	
53	34	
56	39	
58	37	
60	41	
62	45	
65	35	
68	17	
71	49	
73	13	
76	50	
77	40	
78	55	
81	41	
82	51	
84	60	
86	39	
87	59	
89	__none__	
92	61	
93	25	
98	2089740	
99	25	
103	72	
107	61	
110	36	
111	146270	
112	34	
113	60	
114	17	
116	58	
124	26	
127	35	
128	26	
133	59	
135	72	
139	72	
141	71	
142	42	
143	86	
147	146637	
148	71	
149	80	
151	44	
152	146637	
153	59	
154	146637	
155	9	
158	70	
159	42	
160	17	
161	33	
165	__none__	
166	17	
167	30	
169	93	
170	59	
183	86	
190	55	
195	80	
197	71	
199	50	
206	35	
207	50	
210	39	
212	96	
229	91	
233	71	
235	91	
236	48	
238	34	
243	71	
253	55	
258	55	
266	34	
268	101	
269	91	
274	40	
290	106	
291	109	
292	91	
297	40	
298	49	
304	91	
307	49	
310	55	
329	59	
331	58	
332	59	
335	50	
339	59	
342	59	
344	100	
347	50	
352	5	
354	116	
356	116	
359	119	
360	109	
362	80	
363	117	
364	122	
367	116	
375	124	
384	122	
388	118	
391	134	
392	91	
396	136	
397	135	
407	137	
411	137	
412	123	
430	136	
451	17	
467	144	
471	147	
473	49	
483	147	
497	50	
509	143	
516	150	
518	153	
519	136	
521	154	
522	156	
525	154	
529	86	
530	86	
531	157	
532	86	
536	161	
537	156	
538	156	
539	157	
540	154	
541	157	
551	156	
555	136	
566	154	
568	58	
576	163	
582	149	
583	39	
585	149	
586	34	
589	116	
590	116	
591	111	
595	116	
597	76	
598	175	
599	175	
600	175	
602	13	
605	116	
607	156	
608	13	
611	173	
619	183	
623	154	
629	122	
633	33	
635	188	
655	91	
